event_title,summary,image_url,language,event_type,event_host,ticket_price,booking_url,start_date,end_date,start_time,end_time,event_place,full_address,country_name,state_name,city_name,postal_code
LOHS Graduation: Class of 2025 Commencement Ceremony,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1015162453%2F1903385419373%2F1%2Foriginal.20250423-165522?w=600&auto=format%2Ccompress&q=75&sharp=10&s=4914610547c50cbf957f297a400a4656,,,Lillian Osborne Department of Student Life,,https://www.eventbrite.ca/e/lohs-graduation-class-of-2025-commencement-ceremony-tickets-1297238347819?aff=ebdssbdestsearch,2025-06-06,2025-06-01,14:00,01:30,Universiade Pavilion (Butterdome),"11440 87 Avenue Northwest Edmonton, AB T6G 1C9 Show map",Canada,AB,,T6G 1C9
Squamish Beer Festival 2025,,,,,,34.94,https://www.eventbrite.ca/e/squamish-beer-festival-2025-tickets-1266388745829?aff=ebdssbdestsearch,2025-06-21,2025-06-01,13:00,18:00,Squamish Days Loggers Sports Association,"39155 Loggers Lane Squamish, BC V8B 0A1 Show map",Canada,BC,,V8B 0A1
Spectacle 30 ans DMA,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1020417433%2F1569812661513%2F1%2Foriginal.20250430-191830?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C40%2C1280%2C640&s=8b4fc30bede2ebbef6b1100e4ea8d412,,,Danse Mode-Action (DMA),34.49,https://www.eventbrite.ca/e/spectacle-30-ans-dma-tickets-1345806947809?aff=ebdssbdestsearch,2007-06-14,2025-06-01,,22:00,Théâtre Denise-Pelletier,"4353 Rue Sainte-Catherine Est Montréal, QC H1V 1X9 Show map",Canada,QC,,H1V 1X9
Carmina Burana,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F993616463%2F168701536845%2F1%2Foriginal.20250326-205024?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=5dac1ef157a64c62f20c447db5ee8a7f,,,CPNM - Ottawa,38.61,https://www.eventbrite.ca/e/carmina-burana-tickets-1113930097909?aff=ebdssbdestsearch,2025-06-12,2025-06-01,20:00,07:15,Carleton Dominion-Chalmers Centre,"355 Cooper Ottawa, ON K1N 5J9 Show map",Canada,ON,,K1N 5J9
Canadian Finance Summit 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F914998933%2F265369514887%2F1%2Foriginal.20241210-172248?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.000293560606061&fp-y=0.00468438538206&s=c9dbd0a491dedd652d440148de377472,,,Finance Events,452.80,https://www.eventbrite.ca/e/canadian-finance-summit-2025-tickets-887765700107?aff=ebdssbdestsearch,2025-06-02,2025-06-01,08:00,07:30,The Quay,"100 Queens Quay East #3rd Floor Toronto, ON M5E 1V3 Show map",Canada,ON,,M5E 1V3
Carmina Burana - Juin 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F916605403%2F862029701073%2F1%2Foriginal.20241212-205842?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C121%2C672%2C336&s=4bee33e251ff77edd3f708e3732940a7,,,Choeur philharmonique du Nouveau Monde de Montréal,4393,https://www.eventbrite.ca/e/billets-carmina-burana-juin-2025-1107229827219?aff=ebdssbdestsearch,,,,,Église Saint-Jean-Baptiste de Montréal,"309 Rue Rachel Est Montréal, QC H2W 0A1 Afficher la carte",Canada,QC,,H2W 0A1
¿PorQuéNo? at D/6 Vancouver | Tulum Day Festival Experience,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F974747283%2F303508888665%2F1%2Foriginal.20250304-140353?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C152%2C942%2C471&s=f9ce9c00b9d542da5212e318748e58a1,,,¿POR QUÉ NO?,64.97,https://www.eventbrite.ca/e/porqueno-at-d6-vancouver-tulum-day-festival-experience-tickets-1284029148749?aff=ebdssbdestsearch,2001-06-07,2025-06-01,,13:00,D/6 Bar & Lounge,"39 Smithe Street Vancouver, BC V6B 0R3 Show map",Canada,BC,,V6B 0R3
2025 CANADIAN INTELLIGENCE CONFERENCE (CANIC 2025) NEW DATE 17 JUNE 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F863800119%2F272000030862%2F1%2Foriginal.20241001-162812?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C13%2C428%2C214&s=36a416ee56ecccdf37e9e3134ee0ee02,,,CANADIAN MILITARY INTELLIGENCE ASSOCIATION,0,https://www.eventbrite.ca/e/2025-canadian-intelligence-conference-canic-2025-new-date-17-june-2025-tickets-1035018938507?aff=ebdssbdestsearch,,,,,Ottawa Conference and Event Centre,"200 Coventry Road Ottawa, ON K1K 4S3 Show map",Canada,ON,,K1K 4S3
Shuswap Trails 20th Anniversary Celebration Featuring Five Alarm Funk,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F932847893%2F1200659431673%2F1%2Foriginal.20250110-221942?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C435%2C2500%2C1250&s=b317a292b7997c5b5e2240ec110f10f3,,,Shuswap Trail Alliance,,https://www.eventbrite.ca/e/shuswap-trails-20th-anniversary-celebration-featuring-five-alarm-funk-tickets-1146464589449?aff=ebdssbdestsearch,2004-06-07,2025-06-01,,20:00,South Canoe Trailhead,"6970 10 Avenue Southeast Salmon Arm, BC V1E 1X8 Show map",Canada,BC,,V1E 1X8
Dev Fest 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1011183753%2F2705004420091%2F1%2Foriginal.20250417-122437?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=c229f7923daf97718bfad75c1a2cd00c,,,Dev Hotel & Conference Centre,49.58,https://www.eventbrite.com/e/dev-fest-2025-tickets-1307158238479?aff=ebdssbdestsearch,2025-06-27,2025-06-01,16:00,03:45,1950 Montreal Rd,"1950 Montreal Road Cornwall, ON K6H 7L1 Show map",Canada,ON,,K6H 7L1
CIM North Central 2025 Conference and AGM - June 16-18,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F484502279%2F186355607302%2F1%2Foriginal.20190309-220719?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=170%2C0%2C442%2C221&s=84780ff78391e2a000cee0fc797e3abe,,,CIM North Central BC Branch,49.48,https://www.eventbrite.ca/e/cim-north-central-2025-conference-and-agm-june-16-18-tickets-1285104394839?aff=ebdssbdestsearch,2025-06-16,2025-06-18,18:00,23:30,Courtyard by Marriott Prince George,"900 Brunswick Street Prince George, BC V2L 2C3 Show map",Canada,BC,,V2L 2C3
